first_name,last_name,phone,company,email,birthday,last_contact,next_contact
Bertie,Georghiou,5924096373,Feedfire,bgeorghioug@un.org,28/02/1979,30/01/2021,09/01/2023
Alexandre,Yearsley,1544905595,Feedfire,ayearsley97@jigsy.com,07/03/1983,,10/01/2023
Chris,Demoge,8272445064,Feedfire,cdemogeal@columbia.edu,17/04/1987,02/05/2020,10/01/2023
Lavina,Tambling,4707478929,Edgeclub,ltamblingb5@cloudflare.com,26/11/1975,19/09/2020,06/01/2023
Lauryn,Maton,7156680644,Feedfish,lmatonbu@europa.eu,25/05/1976,21/04/2020,09/01/2023
Ruggiero,Siely,9112774372,Jayo,rsielydf@qq.com,13/08/1980,07/02/2020,11/01/2023
Dimitri,Filipic,3163237705,Bluezoom,dfilipice9@paypal.com,02/03/1971,01/04/2020,08/01/2023
Nancy,Gligori,6837224319,Feedfire,ngligorier@blog.com,07/04/1958,11/07/2021,09/01/2023
Koren,Moorhead,7418638089,Yozio,kmoorheadf6@creativecommons.org,21/07/1967,31/03/2020,07/01/2023
Dorelia,Frango,2672707584,Dabfeed,dfrangofl@sohu.com,11/12/1956,24/05/2021,06/01/2023
Damiano,Fishe,7305690245,Zooxo,dfishegq@netlog.com,07/01/1975,20/06/2021,11/01/2023
Walton,Shackleton,4312824040,Topicstorm,wshackletongw@cloudflare.com,12/02/1981,30/09/2022,10/01/2023
Danila,Feather,6226040978,Thoughtworks,dfeatherir@dmoz.org,20/03/1965,11/03/2022,10/01/2023
Olag,Waylen,2562001801,Feedfish,owaylenn0@bigcartel.com,11/12/1972,17/01/2022,09/01/2023
Amble,Ebbens,3252835030,Feedfire,aebbensob@mac.com,05/11/1985,13/02/2020,
Dorelle,Marzella,2665654758,Katz,dmarzellaoc@friendfeed.com,25/01/1975,17/09/2021,
Dorthea,Fouracres,4761857307,Izio,dfouracresot@indiegogo.com,28/07/1977,31/01/2021,
Marj,McGenis,2163137587,Feedfire,mmcgenisp4@quantcast.com,18/11/1965,20/01/2022,
Cristin,Fyfield,1717016014,Livepath,cfyfieldpq@cloudflare.com,06/08/1981,10/01/2021,08/01/2023
